S_No,Date,Time,Location,City,Province,No_of_Strike,Al_Qaeda,Taliban,Civilians_Min,Civilians_Max,Foreigners_Min,Foreigners_Max,Total_Died_Min,Total_Died_Max,Injured_Min,Injured_Max,Women_Children,Comments,Source_Name,Longitude,Latitude,Temperature_C
318,2012-09-22,,Datta Khel,North Waziristan,FATA,1,0,0,3,4,0,0,3,4,0,2,0,No comments,com,70.1455,32.9746,19
319,2012-09-24,,Kaderkhail Village- 40km East of Miranshah,North Waziristan,FATA,2,0,0,5,6,0,0,5,6,0,0,0,No comments,express,70.1455,32.9746,20
320,2012-10-01,,Khaiderkhel Area- 30 km East of Miranshah,North Waziristan,FATA,4,0,0,0,3,0,0,0,3,0,0,0,No comments,com,70.1455,32.9746,19
321,2012-10-10,4:00:00,Hurmaz village of Mir ali Tehsil,North Waziristan,FATA,4,0,0,0,5,0,0,0,5,0,0,0,Frist Drone attack following massive anti-drone rally of PTI,express,70.1455,32.9746,16
322,2012-10-11,16:40:00,Bulandkhel Area- Orakzai,North Waziristan,FATA,4,0,0,17,18,0,0,17,18,15,20,0,Compound was owned by Mulana Shakirullah- The commander of Taliban's Hafiz Gul Bahadur Group,dailytimes,70.1455,32.9746,16
323,2012-10-24,,Tappi Area- 20 km East of Miranshah,North Waziristan,FATA,2,0,0,3,5,0,0,3,5,0,0,1,No comments,express,70.1455,32.9746,12
324,2012-11-29,12:00:00,Sheen Warak Area- Wana,North Waziristan,FATA,1,0,0,2,4,0,0,2,4,0,4,0,No comments,com,70.1455,32.9746,6
325,2012-12-01,,Sheen Warsask Area,South Waziristan,FATA,3,0,0,0,3,0,1,0,4,0,3,0,Drone targeted Abdur Rehman Al-Yamni- key commander of Al-Qaeda linked Taliban group,com,69.9,33.0333,6
326,2012-12-06,7:45:00,Mubarak Shah Village- Mir Ali,North Waziristan,FATA,2,0,0,3,4,0,0,3,4,0,0,0,No comments,com,70.1455,32.9746,9
327,2012-12-09,,Tabbi Village- Miranshah,North Waziristan,FATA,4,1,0,0,3,0,0,1,4,0,6,0,Senior Al-Qaeda Commander Muhammad Ahmed Al-Mansoor was Among the Dead,express,70.1455,32.9746,7
328,2012-12-21,12:15:00,Hisukhel Area of Mir Ali,North Waziristan,FATA,2,0,0,3,4,0,0,3,4,0,0,0,No comments,com,70.1455,32.9746,4
329,2012-12-28,,Gurbuz- 65km West of Miranshah,North Waziristan,FATA,8,0,0,4,7,0,0,4,7,0,2,0,No comments,dailytimes,70.1455,32.9746,-3
330,2013-01-02,22:00:00,Sara Kanda area of Birmal tehsil,South Waziristan,FATA,1,0,17,0,0,0,0,7,17,0,0,0,2 Missiles were fired on a vehicle,com,69.9,33.0333,1
331,2013-01-06,,Babar Ghar Village,South Waziristan,FATA,1,0,17,0,0,0,0,10,17,0,7,0,10 Missiles were fired on 2 compounds,express,69.9,33.0333,0
332,2013-01-08,,Haider Khel Village- 25km East of Miranshah,North Waziristan,FATA,8,0,0,4,8,0,0,4,8,1,4,0,No comments,dailytimes,70.1455,32.9746,1
334,2013-01-10,,Heso Khel village- 35km East of Miranshah,North Waziristan,FATA,4,0,0,4,6,0,0,4,6,0,0,0,No comments,dailytimes,70.1455,32.9746,5
335,2013-02-06,,Ghulam Khan Tehsil,North Waziristan,FATA,4,0,0,3,5,0,0,3,5,0,0,0,No comments,dawn,70.1455,32.9746,3
336,2013-02-08,,Bobar Gar area- 50km south of Miranshah,North Waziristan,FATA,2,2,9,0,0,2,2,7,9,2,6,0,According to Intelligence sources- drones killed Abu Majid Al-Iraqi and Shiekh Waqas Al-Yamoni,thenews,70.1455,32.9746,5
337,2013-03-21,23:30:00,Datta Khel tehsil- 35 kilometres west of Miransha,North Waziristan,FATA,1,0,0,1,4,0,0,1,4,0,0,0,Missiles left bodies charred and beyond recognition,,70.1455,32.9746,13
338,2013-04-14,18:30:00,Datta Khel Tehsil- 50 Kilometres west of Miranshah,North Waziristan,FATA,2,0,0,4,4,0,0,4,4,0,0,0,As missiles mutilated the bodies- witnesses could not ascertain the identity of slain men,thenews,70.1455,32.9746,16
339,2013-04-17,,Baber Ghar Area of South Waziristan,South Waziristan,FATA,2,0,5,0,0,0,0,5,5,2,7,0,Drone apparently targets Taliban training camp in Baber Ghar area of South Waziristan,aljazeera,69.9,33.0333,17
340,2013-05-29,,Chashma village- 3km east of Miranshah,North Waziristan,FATA,2,0,7,0,0,0,0,7,7,4,4,0,Reportedly drone strike killed the number two of the Pakistan Taliban- Waliur Rehman- in the North Waziristan region,com,70.1455,32.9746,21
341,2013-07-02,2:30:00, Sarai Darpa Khel area,North Waziristan,FATA,4,0,17,0,0,0,0,16,17,0,0,0,No comments,com,70.1455,32.9746,23
342,2013-07-13,23:30:00,Mir Ali Tehsil,North Waziristan,FATA,2,0,0,0,0,2,2,2,2,0,0,0,Two missiles fire on a motor bike,,70.1455,32.9746,26
343,2013-09-06,6:45:00,Ghulam Khan Area,North Waziristan,FATA,2,3,3,0,0,3,3,6,7,4,4,0,The deceased include Mullah Sangeen Zadran- the Haqqani Network commander- Jordanians Muhammad Abu Bilal Al-Khurrasani and Abu Dogana Al-Khairrasani- both allegedly al Qaeda members- Zubair- an Egyptian also an alleged al Qaeda member- and locals Arshad Dawar and Ajmal Dawar.,com,70.1455,32.9746,24
344,2013-09-22,12:45:00,Shawal Town of North Waziristan,North Waziristan,FATA,4,0,0,6,7,0,0,6,7,2,3,0,Allegedly a militant compound while identities of people killed could be determined as yet,nation,70.1455,32.9746,24
345,2013-09-29,,Dargamandi area- seven km north of Miranshah,North Waziristan,FATA,2,0,0,3,6,0,0,3,6,3,3,0,No comments,arabnews,70.1455,32.9746,24
346,2013-10-27,1:00:00,Zafar Town area near Miramshah Bazar,North Waziristan,FATA,1,0,0,3,3,0,0,3,3,3,3,0,No comments,com,70.1455,32.9746,15
347,2013-10-29,1:30:00,Dandey Darpakhel Area- five kilometres (three miles) north of Miranshah,North Waziristan,FATA,1,0,5,0,0,0,0,5,5,2,2,0,Hakimullah Mehsud- chief of the Tehrik-i-Taliban Pakistan (TTP)- was killed in a US drone strike along with his two key commanders Abdullah Bahar Mehsud and Tariq Mehsud.,com,70.1455,32.9746,15
